"Species","B1","B2"
"A_mi",0.721709026123879,0.0368853073152816
"C_ac",0.794691113670028,0.072960161704268
"C_cr",0.771793828407337,0.0546273300014765
"C_in",0.652660886901533,0.0150416211394029
"C_la",0.798226172778136,0.0855583033545246
"C_mo",0.679268433999317,0.0184972167671527
"C_rh",0.393638118452276,0.000895532289767039
"C_ya",0.693298841460442,0.0228829758756095
"M_ni",0.739951516556318,0.0392794976090781
"P_pa",0.759624269542918,0.0504479746202637
"P_tr",0.76631840646438,0.0534344741116083
